               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024652,            0.027009,           0.0054069,             0.57883,             0.53171,             0.54652,              0.3388,            0.028289,            0.037457,            0.025308,            0.009307,            0.009307,            0.009307
                  37,            0.025521,            0.025952,           0.0062307,             0.56252,             0.56893,             0.54594,             0.33875,            0.028125,            0.036816,             0.02588,           0.0092872,           0.0092872,           0.0092872
                  38,            0.024782,             0.02566,           0.0047661,             0.55975,             0.55298,             0.55107,             0.34561,            0.027877,            0.039186,            0.022242,           0.0092674,           0.0092674,           0.0092674
                  39,            0.024057,            0.025788,           0.0049894,             0.58408,             0.53334,              0.5461,             0.33877,            0.027754,            0.039338,             0.02491,           0.0092476,           0.0092476,           0.0092476
                  40,            0.024791,            0.025477,           0.0045731,             0.66103,             0.51991,             0.57271,             0.35962,            0.027333,            0.038815,            0.023963,           0.0092278,           0.0092278,           0.0092278
                  41,            0.026347,            0.026569,             0.00464,             0.67447,             0.53344,             0.59598,             0.38109,             0.02734,            0.036281,            0.022154,            0.009208,            0.009208,            0.009208
                  42,            0.025204,            0.025874,           0.0044219,             0.56364,             0.55146,             0.54966,             0.34928,            0.027748,            0.041409,            0.020582,           0.0091882,           0.0091882,           0.0091882
                  43,            0.024669,            0.025221,           0.0050557,             0.56389,             0.53185,             0.52345,             0.33164,            0.028778,            0.044033,            0.024351,           0.0091684,           0.0091684,           0.0091684
                  44,            0.025191,             0.02493,            0.005453,             0.55753,             0.51614,             0.52608,              0.3286,            0.027915,            0.040745,            0.026347,           0.0091486,           0.0091486,           0.0091486
                  45,            0.024492,            0.025399,           0.0045334,             0.57329,             0.52946,             0.54245,             0.33853,            0.027967,            0.042137,            0.023548,           0.0091288,           0.0091288,           0.0091288
                  46,            0.023871,            0.024956,           0.0045066,             0.60838,             0.52701,             0.55431,             0.34042,            0.027848,            0.039082,            0.026461,            0.009109,            0.009109,            0.009109
                  47,            0.024352,            0.024541,           0.0041625,             0.55856,             0.54999,             0.55748,             0.34467,            0.027598,            0.038638,            0.025427,           0.0090892,           0.0090892,           0.0090892
                  48,            0.024379,            0.023612,           0.0049038,             0.59443,             0.51804,             0.54804,             0.33547,            0.027981,            0.039664,            0.026072,           0.0090694,           0.0090694,           0.0090694
                  49,            0.024231,            0.025367,           0.0041625,             0.64607,             0.51501,             0.54578,             0.33688,            0.028618,            0.041418,            0.025563,           0.0090496,           0.0090496,           0.0090496
                  50,            0.023541,            0.024535,           0.0044496,             0.59559,             0.51927,             0.54054,              0.3313,            0.028658,            0.040125,            0.027331,           0.0090298,           0.0090298,           0.0090298
                  51,              0.0229,            0.024209,           0.0045854,             0.62755,             0.49855,             0.55034,             0.34161,            0.028452,            0.040508,            0.025733,             0.00901,             0.00901,             0.00901
                  52,            0.024097,            0.024964,           0.0036494,             0.62491,             0.49389,             0.55637,             0.35473,            0.027865,            0.042821,            0.026816,           0.0089902,           0.0089902,           0.0089902
                  53,            0.023789,            0.024492,           0.0038135,             0.56361,             0.50504,              0.5341,             0.32354,            0.029321,            0.041445,            0.026573,           0.0089704,           0.0089704,           0.0089704
                  54,            0.024588,            0.024641,            0.004069,             0.57178,             0.52416,             0.52698,             0.33013,            0.028371,            0.040767,            0.027702,           0.0089506,           0.0089506,           0.0089506
                  55,            0.023524,            0.024389,           0.0040755,             0.60197,             0.50159,             0.55516,             0.34963,            0.027725,            0.039089,            0.026159,           0.0089308,           0.0089308,           0.0089308
                  56,            0.022803,            0.024261,            0.003962,             0.55907,             0.56423,             0.53793,             0.32089,            0.028798,            0.042112,            0.025035,            0.008911,            0.008911,            0.008911
                  57,            0.024417,            0.024363,           0.0037421,             0.47377,             0.63947,             0.55281,              0.3494,            0.027505,            0.036838,            0.025508,           0.0088912,           0.0088912,           0.0088912
                  58,            0.023775,            0.024073,           0.0042679,             0.53386,             0.54987,             0.53772,             0.33674,            0.028512,            0.044156,            0.026848,           0.0088714,           0.0088714,           0.0088714
                  59,            0.023341,            0.024241,           0.0041282,             0.58423,             0.54818,              0.5432,             0.33285,            0.028911,            0.041819,            0.024097,           0.0088516,           0.0088516,           0.0088516
                  60,            0.024034,            0.024981,           0.0036064,             0.54445,              0.5562,             0.53048,             0.33368,            0.027549,            0.038636,            0.029287,           0.0088318,           0.0088318,           0.0088318
                  61,            0.022475,            0.023906,           0.0038355,             0.60372,             0.52122,              0.5703,             0.36005,            0.027138,             0.03955,            0.023141,            0.008812,            0.008812,            0.008812
                  62,             0.02295,            0.024209,           0.0032504,             0.53466,             0.57491,             0.53961,             0.33759,            0.027921,            0.041377,            0.026077,           0.0087922,           0.0087922,           0.0087922
